codigo_entidad,descripcion_entidad,codigo_dato,descripcion_dato,valor_dato,formato,año,mes,mes_str,origen
00005,The Royal Bank of Scotland N.V.,991000001,Sucursales (red propia),1,N,2015,1,2015-01,casas
00005,The Royal Bank of Scotland N.V.,991000001,Sucursales (red propia),1,N,2015,2,2015-02,casas
00005,The Royal Bank of Scotland N.V.,991000001,Sucursales (red propia),1,N,2015,3,2015-03,casas
00005,The Royal Bank of Scotland N.V.,991000001,Sucursales (red propia),1,N,2015,4,2015-04,casas
00005,The Royal Bank of Scotland N.V.,991000001,Sucursales (red propia),1,N,2015,5,2015-05,casas
00005,The Royal Bank of Scotland N.V.,991000001,Sucursales (red propia),1,N,2015,6,2015-06,casas
00005,The Royal Bank of Scotland N.V.,991000001,Sucursales (red propia),1,N,2015,7,2015-07,casas
00005,The Royal Bank of Scotland N.V.,991000001,Sucursales (red propia),1,N,2015,8,2015-08,casas
00005,The Royal Bank of Scotland N.V.,991000001,Sucursales (red propia),1,N,2015,9,2015-09,casas
00005,The Royal Bank of Scotland N.V.,991000001,Sucursales (red propia),1,N,2015,10,2015-10,casas
00005,The Royal Bank of Scotland N.V.,991000001,Sucursales (red propia),1,N,2015,11,2015-11,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000002,Cajeros automáticos (dentro y fuera de casas operativas),1064,N,2015,1,2015-01,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000004,Dependencias automatizadas,18,N,2015,1,2015-01,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000005,Sucursales con operatoria restringida (prestación de determinadas actividades),4,N,2015,1,2015-01,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000001,Sucursales (red propia),261,N,2015,1,2015-01,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000002,Cajeros automáticos (dentro y fuera de casas operativas),1064,N,2015,2,2015-02,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000004,Dependencias automatizadas,18,N,2015,2,2015-02,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000005,Sucursales con operatoria restringida (prestación de determinadas actividades),4,N,2015,2,2015-02,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000001,Sucursales (red propia),260,N,2015,2,2015-02,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000002,Cajeros automáticos (dentro y fuera de casas operativas),1064,N,2015,3,2015-03,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000004,Dependencias automatizadas,18,N,2015,3,2015-03,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000005,Sucursales con operatoria restringida (prestación de determinadas actividades),4,N,2015,3,2015-03,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000001,Sucursales (red propia),260,N,2015,3,2015-03,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000002,Cajeros automáticos (dentro y fuera de casas operativas),1064,N,2015,4,2015-04,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000004,Dependencias automatizadas,18,N,2015,4,2015-04,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000005,Sucursales con operatoria restringida (prestación de determinadas actividades),4,N,2015,4,2015-04,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000001,Sucursales (red propia),260,N,2015,4,2015-04,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000002,Cajeros automáticos (dentro y fuera de casas operativas),1071,N,2015,5,2015-05,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000004,Dependencias automatizadas,18,N,2015,5,2015-05,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000005,Sucursales con operatoria restringida (prestación de determinadas actividades),4,N,2015,5,2015-05,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000001,Sucursales (red propia),260,N,2015,5,2015-05,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000002,Cajeros automáticos (dentro y fuera de casas operativas),1071,N,2015,6,2015-06,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000004,Dependencias automatizadas,18,N,2015,6,2015-06,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000005,Sucursales con operatoria restringida (prestación de determinadas actividades),4,N,2015,6,2015-06,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000001,Sucursales (red propia),260,N,2015,6,2015-06,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000002,Cajeros automáticos (dentro y fuera de casas operativas),1079,N,2015,7,2015-07,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000004,Dependencias automatizadas,18,N,2015,7,2015-07,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000005,Sucursales con operatoria restringida (prestación de determinadas actividades),4,N,2015,7,2015-07,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000001,Sucursales (red propia),260,N,2015,7,2015-07,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000002,Cajeros automáticos (dentro y fuera de casas operativas),1083,N,2015,8,2015-08,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000004,Dependencias automatizadas,18,N,2015,8,2015-08,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000005,Sucursales con operatoria restringida (prestación de determinadas actividades),4,N,2015,8,2015-08,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000001,Sucursales (red propia),260,N,2015,8,2015-08,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000002,Cajeros automáticos (dentro y fuera de casas operativas),1093,N,2015,9,2015-09,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000004,Dependencias automatizadas,18,N,2015,9,2015-09,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000005,Sucursales con operatoria restringida (prestación de determinadas actividades),4,N,2015,9,2015-09,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000001,Sucursales (red propia),260,N,2015,9,2015-09,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000002,Cajeros automáticos (dentro y fuera de casas operativas),1131,N,2015,10,2015-10,casas
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,991000004,Dependencias automatizadas,18,N,2015,10,2015-10,casas
