codigo_entidad,año,mes,mes_str,categoria,provincia,partido,cantidad
00005,2015,1,2015-01,sucursal,CABA,,1
00005,2015,2,2015-02,sucursal,CABA,,1
00005,2015,3,2015-03,sucursal,CABA,,1
00005,2015,4,2015-04,sucursal,CABA,,1
00005,2015,5,2015-05,sucursal,CABA,,1
00005,2015,6,2015-06,sucursal,CABA,,1
00005,2015,7,2015-07,sucursal,CABA,,1
00005,2015,8,2015-08,sucursal,CABA,,1
00005,2015,9,2015-09,sucursal,CABA,,1
00005,2015,10,2015-10,sucursal,CABA,,1
00005,2015,11,2015-11,sucursal,CABA,,1
00007,2015,1,2015-01,cajero,ARGENTINA,,1064
00007,2015,1,2015-01,dependencia_automatizada,BUENOS AIRES,,8
00007,2015,1,2015-01,dependencia_automatizada,CABA,,3
00007,2015,1,2015-01,dependencia_automatizada,CORDOBA,,2
00007,2015,1,2015-01,dependencia_automatizada,ENTRE RIOS,,1
00007,2015,1,2015-01,dependencia_automatizada,MENDOZA,,1
00007,2015,1,2015-01,dependencia_automatizada,SANTA FE,,2
00007,2015,1,2015-01,dependencia_automatizada,TUCUMAN,,1
00007,2015,1,2015-01,sucursal,BUENOS AIRES,,100
00007,2015,1,2015-01,sucursal,CABA,,86
00007,2015,1,2015-01,sucursal,CATAMARCA,,1
00007,2015,1,2015-01,sucursal,CHACO,,1
00007,2015,1,2015-01,sucursal,CHUBUT,,5
00007,2015,1,2015-01,sucursal,CORDOBA,,15
00007,2015,1,2015-01,sucursal,CORRIENTES,,2
00007,2015,1,2015-01,sucursal,ENTRE RIOS,,4
00007,2015,1,2015-01,sucursal,FORMOSA,,1
00007,2015,1,2015-01,sucursal,JUJUY,,1
00007,2015,1,2015-01,sucursal,LA PAMPA,,2
00007,2015,1,2015-01,sucursal,LA RIOJA,,1
00007,2015,1,2015-01,sucursal,MENDOZA,,9
00007,2015,1,2015-01,sucursal,MISIONES,,2
00007,2015,1,2015-01,sucursal,NEUQUEN,,1
00007,2015,1,2015-01,sucursal,RIO NEGRO,,3
00007,2015,1,2015-01,sucursal,SALTA,,1
00007,2015,1,2015-01,sucursal,SAN JUAN,,1
00007,2015,1,2015-01,sucursal,SAN LUIS,,2
00007,2015,1,2015-01,sucursal,SANTA CRUZ,,1
00007,2015,1,2015-01,sucursal,SANTA FE,,16
00007,2015,1,2015-01,sucursal,SANTIAGO DEL ESTERO,,1
00007,2015,1,2015-01,sucursal,TIERRA DEL FUEGO,,2
00007,2015,1,2015-01,sucursal,TUCUMAN,,3
00007,2015,2,2015-02,cajero,ARGENTINA,,1064
00007,2015,2,2015-02,dependencia_automatizada,BUENOS AIRES,,8
00007,2015,2,2015-02,dependencia_automatizada,CABA,,3
00007,2015,2,2015-02,dependencia_automatizada,CORDOBA,,2
00007,2015,2,2015-02,dependencia_automatizada,ENTRE RIOS,,1
00007,2015,2,2015-02,dependencia_automatizada,MENDOZA,,1
00007,2015,2,2015-02,dependencia_automatizada,SANTA FE,,2
00007,2015,2,2015-02,dependencia_automatizada,TUCUMAN,,1
00007,2015,2,2015-02,sucursal,BUENOS AIRES,,100
00007,2015,2,2015-02,sucursal,CABA,,85
00007,2015,2,2015-02,sucursal,CATAMARCA,,1
00007,2015,2,2015-02,sucursal,CHACO,,1
00007,2015,2,2015-02,sucursal,CHUBUT,,5
00007,2015,2,2015-02,sucursal,CORDOBA,,15
00007,2015,2,2015-02,sucursal,CORRIENTES,,2
00007,2015,2,2015-02,sucursal,ENTRE RIOS,,4
00007,2015,2,2015-02,sucursal,FORMOSA,,1
00007,2015,2,2015-02,sucursal,JUJUY,,1
00007,2015,2,2015-02,sucursal,LA PAMPA,,2
00007,2015,2,2015-02,sucursal,LA RIOJA,,1
00007,2015,2,2015-02,sucursal,MENDOZA,,9
00007,2015,2,2015-02,sucursal,MISIONES,,2
00007,2015,2,2015-02,sucursal,NEUQUEN,,1
00007,2015,2,2015-02,sucursal,RIO NEGRO,,3
00007,2015,2,2015-02,sucursal,SALTA,,1
00007,2015,2,2015-02,sucursal,SAN JUAN,,1
00007,2015,2,2015-02,sucursal,SAN LUIS,,2
00007,2015,2,2015-02,sucursal,SANTA CRUZ,,1
00007,2015,2,2015-02,sucursal,SANTA FE,,16
00007,2015,2,2015-02,sucursal,SANTIAGO DEL ESTERO,,1
00007,2015,2,2015-02,sucursal,TIERRA DEL FUEGO,,2
00007,2015,2,2015-02,sucursal,TUCUMAN,,3
00007,2015,3,2015-03,cajero,ARGENTINA,,1064
00007,2015,3,2015-03,dependencia_automatizada,BUENOS AIRES,,8
00007,2015,3,2015-03,dependencia_automatizada,CABA,,3
00007,2015,3,2015-03,dependencia_automatizada,CORDOBA,,2
00007,2015,3,2015-03,dependencia_automatizada,ENTRE RIOS,,1
00007,2015,3,2015-03,dependencia_automatizada,MENDOZA,,1
00007,2015,3,2015-03,dependencia_automatizada,SANTA FE,,2
00007,2015,3,2015-03,dependencia_automatizada,TUCUMAN,,1
00007,2015,3,2015-03,sucursal,BUENOS AIRES,,100
00007,2015,3,2015-03,sucursal,CABA,,85
00007,2015,3,2015-03,sucursal,CATAMARCA,,1
00007,2015,3,2015-03,sucursal,CHACO,,1
00007,2015,3,2015-03,sucursal,CHUBUT,,5
00007,2015,3,2015-03,sucursal,CORDOBA,,15
00007,2015,3,2015-03,sucursal,CORRIENTES,,2
00007,2015,3,2015-03,sucursal,ENTRE RIOS,,4
00007,2015,3,2015-03,sucursal,FORMOSA,,1
00007,2015,3,2015-03,sucursal,JUJUY,,1
00007,2015,3,2015-03,sucursal,LA PAMPA,,2
00007,2015,3,2015-03,sucursal,LA RIOJA,,1
00007,2015,3,2015-03,sucursal,MENDOZA,,9
00007,2015,3,2015-03,sucursal,MISIONES,,2
00007,2015,3,2015-03,sucursal,NEUQUEN,,1
00007,2015,3,2015-03,sucursal,RIO NEGRO,,3
00007,2015,3,2015-03,sucursal,SALTA,,1
00007,2015,3,2015-03,sucursal,SAN JUAN,,1
00007,2015,3,2015-03,sucursal,SAN LUIS,,2
00007,2015,3,2015-03,sucursal,SANTA CRUZ,,1
00007,2015,3,2015-03,sucursal,SANTA FE,,16
00007,2015,3,2015-03,sucursal,SANTIAGO DEL ESTERO,,1
00007,2015,3,2015-03,sucursal,TIERRA DEL FUEGO,,2
00007,2015,3,2015-03,sucursal,TUCUMAN,,3
00007,2015,4,2015-04,cajero,ARGENTINA,,1064
00007,2015,4,2015-04,dependencia_automatizada,BUENOS AIRES,,8
00007,2015,4,2015-04,dependencia_automatizada,CABA,,3
00007,2015,4,2015-04,dependencia_automatizada,CORDOBA,,2
00007,2015,4,2015-04,dependencia_automatizada,ENTRE RIOS,,1
00007,2015,4,2015-04,dependencia_automatizada,MENDOZA,,1
00007,2015,4,2015-04,dependencia_automatizada,SANTA FE,,2
00007,2015,4,2015-04,dependencia_automatizada,TUCUMAN,,1
00007,2015,4,2015-04,sucursal,BUENOS AIRES,,100
00007,2015,4,2015-04,sucursal,CABA,,85
00007,2015,4,2015-04,sucursal,CATAMARCA,,1
00007,2015,4,2015-04,sucursal,CHACO,,1
00007,2015,4,2015-04,sucursal,CHUBUT,,5
00007,2015,4,2015-04,sucursal,CORDOBA,,15
