codigo_entidad,mes_str,categoria,tipo_filial,denominacion,direccion,localidad,partido,provincia,latitud,longitud,cantidad_cajeros
00007,2026-02,sucursal,Casa Matriz,,TTE. GRAL. JUAN D. PERON 407,CABA ZONA NORTE,CABA,CABA,-34.605411,-58.372421,11
00007,2026-02,sucursal,Sucursal,,AV. RIVADAVIA 2330,CABA ZONA NORTE,CABA,CABA,-34.609743,-58.399491,7
00007,2026-02,sucursal,Sucursal,,AV. SAN JUAN 3101,CABA ZONA SUR,CABA,CABA,-34.624587,-58.408894,6
00007,2026-02,sucursal,Sucursal,,AV. CORRIENTES 3148,CABA ZONA NORTE,CABA,CABA,-34.604073,-58.409588,6
00007,2026-02,sucursal,Sucursal,,SANTIAGO DEL ESTERO 446,CABA ZONA NORTE,CABA,CABA,-34.613853,-58.384603,5
00007,2026-02,sucursal,Sucursal,,PARANA 450,CABA ZONA NORTE,CABA,CABA,-34.603516,-58.387910,7
00007,2026-02,sucursal,Sucursal,,AV. RIVADAVIA 7121,CABA ZONA NORTE,CABA,CABA,-34.629729,-58.465815,7
00007,2026-02,sucursal,Sucursal,,AV. RIVADAVIA 3702,CABA ZONA NORTE,CABA,CABA,-34.611047,-58.418502,7
00007,2026-02,sucursal,Sucursal,,AV. CORONEL DIAZ 1854,CABA ZONA NORTE,CABA,CABA,-34.589646,-58.410612,7
00007,2026-02,sucursal,Sucursal,,AV. RICARDO BALBIN 3899,CABA ZONA NORTE,CABA,CABA,-34.554845,-58.485138,6
00007,2026-02,sucursal,Sucursal,,MARCELO T. DE ALVEAR 670,CABA ZONA NORTE,CABA,CABA,-34.596307,-58.376453,5
00007,2026-02,sucursal,Sucursal,,AV. PRESIDENTE QUINTANA 401,CABA ZONA NORTE,CABA,CABA,-34.589110,-58.388966,7
00007,2026-02,sucursal,Sucursal,,AV. SAN MARTIN 5702,CABA ZONA NORTE,CABA,CABA,-34.596810,-58.497380,0
00007,2026-02,sucursal,Sucursal,,AV. RIVADAVIA 11102,CABA ZONA NORTE,CABA,CABA,-34.638954,-58.521235,6
00007,2026-02,sucursal,Sucursal,,AV. MONTES DE OCA 650,CABA ZONA SUR,CABA,CABA,-34.635779,-58.375121,6
00007,2026-02,sucursal,Sucursal,,AV. JURAMENTO 2095,CABA ZONA NORTE,CABA,CABA,-34.560334,-58.453779,7
00007,2026-02,sucursal,Sucursal,,CARLOS PELLEGRINI 1391,CABA ZONA NORTE,CABA,CABA,-34.591738,-58.381531,4
00007,2026-02,sucursal,Sucursal,,AV. DEL LIBERTADOR 6876,CABA ZONA NORTE,CABA,CABA,-34.549030,-58.454750,6
00007,2026-02,sucursal,Sucursal,,AV. DEL LIBERTADOR 2699,CABA ZONA NORTE,CABA,CABA,-34.578723,-58.406897,5
00007,2026-02,sucursal,Sucursal,,AV. FEDERICO LACROZE 3101,CABA ZONA NORTE,CABA,CABA,-34.577018,-58.448921,6
00007,2026-02,sucursal,Sucursal,,AV. DE LOS INCAS 4763,CABA ZONA NORTE,CABA,CABA,-34.583659,-58.477502,6
00007,2026-02,sucursal,Sucursal,,AV. JUAN B. JUSTO 6629,CABA ZONA NORTE,CABA,CABA,-34.624811,-58.485069,5
00007,2026-02,sucursal,Sucursal,,AV. SCALABRINI ORTIZ 945,CABA ZONA NORTE,CABA,CABA,-34.595433,-58.431777,5
00007,2026-02,sucursal,Sucursal,,AV. DEL LIBERTADOR 4600,CABA ZONA NORTE,CABA,CABA,-34.566204,-58.432190,5
00007,2026-02,sucursal,Sucursal,,AV. PEDRO GOYENA 1642,CABA ZONA SUR,CABA,CABA,-34.628330,-58.451303,4
00007,2026-02,sucursal,Sucursal,,AV. JUAN BAUTISTA ALBERDI 5859,CABA ZONA SUR,CABA,CABA,-34.651843,-58.502738,6
00007,2026-02,sucursal,Sucursal,,AV. ANGEL GALLARDO 1072,CABA ZONA NORTE,CABA,CABA,-34.607221,-58.445249,5
00007,2026-02,sucursal,Sucursal,,AV. GENERAL MOSCONI 2340,CABA ZONA NORTE,CABA,CABA,-34.582461,-58.495780,8
00007,2026-02,sucursal,Sucursal,,GOB. QUAGLIA 307,SAN CARLOS DE BARILOCHE,BARILOCHE,RíO NEGRO,-41.134761,-71.308691,8
00007,2026-02,sucursal,Sucursal,,SAN MARTIN 601,VENADO TUERTO,GENERAL LOPEZ,SANTA FE,-33.746902,-61.964786,6
00007,2026-02,sucursal,Sucursal,,AV. FRANCISCO BEIRO 4229,CABA ZONA NORTE,CABA,CABA,-34.605222,-58.510813,5
00007,2026-02,sucursal,Sucursal,,AV. PASEO COLON 793,CABA ZONA NORTE,CABA,CABA,-34.617047,-58.369444,4
00007,2026-02,sucursal,Sucursal,,AV. BARTOLOME MITRE 641,AVELLANEDA,AVELLANEDA,BUENOS AIRES,-34.661679,-58.368597,5
00007,2026-02,sucursal,Sucursal,,AV. SANTA FE 2477,MARTÍNEZ,SAN ISIDRO,BUENOS AIRES,-34.493798,-58.498396,5
00007,2026-02,sucursal,Sucursal,,NUESTRA SEÑORA DEL BUEN VIAJE 739,MORON,MORON,BUENOS AIRES,-34.651785,-58.619040,9
00007,2026-02,sucursal,Sucursal,,SAN MARTIN 435,LUJAN,LUJAN,BUENOS AIRES,-34.565416,-59.116111,0
00007,2026-02,sucursal,Sucursal,,AV. HIPOLITO YRIGOYEN 2550,GERLI,LANUS,BUENOS AIRES,-34.686654,-58.387268,5
00007,2026-02,sucursal,Sucursal,,AV. MITRE 2407,SARANDÍ,AVELLANEDA,BUENOS AIRES,-34.673848,-58.350749,0
00007,2026-02,sucursal,Sucursal,,AV. DEL LIBERTADOR 14806,ACASSUSO,SAN ISIDRO,BUENOS AIRES,-34.477259,-58.497404,4
00007,2026-02,sucursal,Sucursal,,AV. 29 509,MERCEDES,MERCEDES,BUENOS AIRES,-34.651567,-59.432159,5
00007,2026-02,sucursal,Sucursal,,AV. CORONEL DELIA 1502,LANUS,LANUS,BUENOS AIRES,-34.639220,-58.464378,6
00007,2026-02,sucursal,Sucursal,,AV. DEL LIBERTADOR 215,VICENTE LÓPEZ,VICENTE LOPEZ,BUENOS AIRES,-34.532575,-58.468590,4
00007,2026-02,sucursal,Sucursal,,AV. GAONA 4104,CIUDADELA,TRES DE FEBRERO,BUENOS AIRES,-34.634866,-58.544046,0
00007,2026-02,sucursal,Sucursal,,AV. SAN MARTIN 1101,GENERAL SAN MARTIN,GENERAL SAN MARTIN,BUENOS AIRES,-34.591893,-58.560380,0
00007,2026-02,sucursal,Sucursal,,AV. LIBERTADOR 436,MERLO,MERLO,BUENOS AIRES,-34.669712,-58.725438,10
00007,2026-02,sucursal,Sucursal,,AV. MAIPU 301,VICENTE LÓPEZ,VICENTE LOPEZ,BUENOS AIRES,-34.535460,-58.477546,0
00007,2026-02,sucursal,Sucursal,,AV. HIPOLITO YRIGOYEN 7839,BANDFIELD,LOMAS DE ZAMORA,BUENOS AIRES,-34.746997,-58.399742,10
00007,2026-02,sucursal,Sucursal,,AV. INOCENCIO ARIAS 2355,CASTELAR,MORON,BUENOS AIRES,-34.651291,-58.641920,7
00007,2026-02,sucursal,Sucursal,,CARLOS PELLEGRINI 861 Piso: 1 Dpto: 1,CABA ZONA NORTE,CABA,CABA,-34.598171,-58.381015,6
00007,2026-02,sucursal,Sucursal,,CARLOS PELLEGRINI 115,CHIVILCOY,CHIVILCOY,BUENOS AIRES,-34.894589,-60.018156,5
00007,2026-02,sucursal,Sucursal,,AV. SANTA FE 3701,CABA ZONA NORTE,CABA,CABA,-34.585116,-58.415929,8
00007,2026-02,sucursal,Sucursal,,AV. NAZCA 2330,CABA ZONA NORTE,CABA,CABA,-34.608561,-58.483800,6
00007,2026-02,sucursal,Sucursal,,AV. INDEPENDENCIA 3691,CABA ZONA NORTE,CABA,CABA,-34.621090,-58.417930,5
00007,2026-02,sucursal,Sucursal,,FELIX DE AZARA 181,POSADAS,CAPITAL,MISIONES,-27.364841,-55.893441,8
00007,2026-02,sucursal,Sucursal,,BARTOLOME MITRE 153,RESISTENCIA,SAN FERNANDO,CHACO,-27.449217,-58.986007,9
00007,2026-02,sucursal,Sucursal,,AV. 25 DE MAYO 160,FORMOSA,FORMOSA,FORMOSA,-26.182363,-58.166015,7
00007,2026-02,sucursal,Sucursal,,AV. LA VOZ DEL INTERIOR 6655,CORDOBA,CAPITAL,CóRDOBA,-31.336367,-64.206074,5
00007,2026-02,sucursal,Sucursal,,BELGRANO 800,GOYA,GOYA,CORRIENTES,-29.142048,-59.265378,10
00007,2026-02,sucursal,Sucursal,,SARMIENTO 705,ROSARIO,ROSARIO,SANTA FE,-32.945254,-60.637913,9
