codigo_dato,descripcion_dato,formato,origen,homogeneizable,deflactor
100010000000,A C T I V O,N,balres,1,IPC_INDEC_NAC_NG
100010100000,Efectivo y deposito en bancos,N,balres,1,IPC_INDEC_NAC_NG
100010200000,Títulos Públicos y Privados,N,balres,1,IPC_INDEC_NAC_NG
100010300000,Préstamos,N,balres,1,IPC_INDEC_NAC_NG
100010301000,Sector Público no Financiero,N,balres,1,IPC_INDEC_NAC_NG
100010302000,Sector Financiero,N,balres,1,IPC_INDEC_NAC_NG
100010303000,Sector Privado no Financiero y Residentes en el Ext.,N,balres,1,IPC_INDEC_NAC_NG
100010303001,Adelantos,N,balres,1,IPC_INDEC_NAC_NG
100010303005,"Doc a sola firma, descont. y comprados",N,balres,1,IPC_INDEC_NAC_NG
100010303010,Hipotecarios,N,balres,1,IPC_INDEC_NAC_NG
100010303015,Prendarios,N,balres,1,IPC_INDEC_NAC_NG
100010303020,Personales,N,balres,1,IPC_INDEC_NAC_NG
100010303030,Otros,N,balres,1,IPC_INDEC_NAC_NG
100010303045,Intereses y dif. cotiz. deveng. a cobrar,N,balres,1,IPC_INDEC_NAC_NG
100010303050,Cobros no aplicados,N,balres,1,IPC_INDEC_NAC_NG
100010303055,Intereses documentados,N,balres,1,IPC_INDEC_NAC_NG
100010303060,Ajustes NIIF,N,balres,1,IPC_INDEC_NAC_NG
100010304000,Previsiones,N,balres,1,IPC_INDEC_NAC_NG
100010400000,Otros Cred.por Interm.Finan.,N,balres,1,IPC_INDEC_NAC_NG
100010401000,Montos a cobrar por ventas contado a liq. y a término,N,balres,1,IPC_INDEC_NAC_NG
100010409000,Otros,N,balres,1,IPC_INDEC_NAC_NG
100010500000,Credito por arrendamiento financiero,N,balres,1,IPC_INDEC_NAC_NG
100010600000,Part. en otras Sociedades,N,balres,1,IPC_INDEC_NAC_NG
100010600005,En entidades financieras,N,balres,1,IPC_INDEC_NAC_NG
100010600020,Otras,N,balres,1,IPC_INDEC_NAC_NG
100010600030,Deterioro de valor,N,balres,1,IPC_INDEC_NAC_NG
100010700000,Créditos Diversos,N,balres,1,IPC_INDEC_NAC_NG
100010800000,"Propiedad, plantas y equipo",N,balres,1,IPC_INDEC_NAC_NG
100010900000,Bienes Diversos,N,balres,1,IPC_INDEC_NAC_NG
100011000000,Activos Intangibles,N,balres,1,IPC_INDEC_NAC_NG
100011100000,Filiales en el Exterior,N,balres,1,IPC_INDEC_NAC_NG
100011200000,Partidas Pend. de Imputación,N,balres,1,IPC_INDEC_NAC_NG
100020000000,P A S I V O,N,balres,1,IPC_INDEC_NAC_NG
100020100000,Depósitos,N,balres,1,IPC_INDEC_NAC_NG
100020101000,Sector Público no financiero,N,balres,1,IPC_INDEC_NAC_NG
100020102000,Sector Financiero,N,balres,1,IPC_INDEC_NAC_NG
100020103000,Sector Privado no Financiero y Residentes en el Ext.,N,balres,1,IPC_INDEC_NAC_NG
