group_id,group_alias,member_alias,codigo_entidad,alias
ABAPPRA,ABAPPRA,BAPRO,00014,BAPRO
ABAPPRA,ABAPPRA,CREDICOOP,00191,CREDICOOP
ABAPPRA,ABAPPRA,GALICIA,00007,GALICIA
ABAPPRA,ABAPPRA,PATAGONIA,00034,PATAGONIA
ABAPPRA,ABAPPRA,SUPERVIELLE,00027,SUPERVIELLE
ABAPPRA,ABAPPRA,COMAFI,00299,COMAFI
ABAPPRA,ABAPPRA,BICA,00426,BICA
ABAPPRA,ABAPPRA,COINAG,00431,COINAG
ABAPPRA,ABAPPRA,CORRIENTES,00094,CORRIENTES
ABAPPRA,ABAPPRA,FORMOSA,00315,FORMOSA
ABAPPRA,ABAPPRA,BICE,00300,BICE
ABAPPRA,ABAPPRA,CIUDAD,00029,CIUDAD
ABAPPRA,ABAPPRA,BANCOR,00020,BANCOR
ABAPPRA,ABAPPRA,CHUBUT,00083,CHUBUT
ABAPPRA,ABAPPRA,ROSARIO,00065,ROSARIO
ABAPPRA,ABAPPRA,TIERRA DEL FUEGO,00268,TIERRA DEL FUEGO
ABAPPRA,ABAPPRA,RIOJA,00309,RIOJA
ABAPPRA,ABAPPRA,NEUQUEN,00097,NEUQUEN
ABAPPRA,ABAPPRA,CHACO,00311,CHACO
ABA,ABA,SANTANDER,00072,SANTANDER
ABA,ABA,BBVA,00017,BBVA
ABA,ABA,ICBC,00015,ICBC
ABA,ABA,JP MORGAN,00165,JP MORGAN
ABA,ABA,BRADESCO,00336,BRADESCO
ABA,ABA,PATAGONIA,00034,PATAGONIA
ABA,ABA,URUGUAY,00269,URUGUAY
ABA,ABA,PARIBAS,00266,PARIBAS
ABA,ABA,BANK OF CHINA,00131,BANK OF CHINA
ABE,ABE,MONTEMAR,45056,MONTEMAR
ABE,ABE,CETELEM,00331,CETELEM
ABE,ABE,BACS,00340,BACS
ABE,ABE,BIBANK,00147,BIBANK
ABE,ABE,COLUMBIA,00389,COLUMBIA
ABE,ABE,SERVICIOS FINANCIEROS CARREFOUR,00332,SERVICIOS FINANCIEROS CARREFOUR
