yyyymm,date,ipc,inflacion_mensual,inflacion_interanual
201612,2016-12-01,100.0,,
201701,2017-01-01,101.5859,1.6,
201702,2017-02-01,103.6859,2.1,
201703,2017-03-01,106.1476,2.4,
201704,2017-04-01,108.9667,2.7,
201705,2017-05-01,110.5301,1.4,
201706,2017-06-01,111.8477,1.2,
201707,2017-07-01,113.7852,1.7,
201708,2017-08-01,115.3819,1.4,
201709,2017-09-01,117.5719,1.9,
201710,2017-10-01,119.3528,1.5,
201711,2017-11-01,120.994,1.4,
201712,2017-12-01,124.7956,3.1,24.8
201801,2018-01-01,126.9887,1.8,25.0
201802,2018-02-01,130.0606,2.4,25.4
201803,2018-03-01,133.1054,2.3,25.4
201804,2018-04-01,136.7512,2.7,25.5
201805,2018-05-01,139.5893,2.1,26.3
201806,2018-06-01,144.8053,3.7,29.5
201807,2018-07-01,149.2966,3.1,31.2
201808,2018-08-01,155.1034,3.9,34.4
201809,2018-09-01,165.2383,6.5,40.5
201810,2018-10-01,174.1473,5.4,45.9
201811,2018-11-01,179.6388,3.2,48.5
201812,2018-12-01,184.2552,2.6,47.6
201901,2019-01-01,189.6101,2.9,49.3
201902,2019-02-01,196.7501,3.8,51.3
201903,2019-03-01,205.9571,4.7,54.7
201904,2019-04-01,213.0517,3.4,55.8
201905,2019-05-01,219.5691,3.1,57.3
201906,2019-06-01,225.537,2.7,55.8
201907,2019-07-01,230.494,2.2,54.4
201908,2019-08-01,239.6077,4.0,54.5
201909,2019-09-01,253.7102,5.9,53.5
201910,2019-10-01,262.0661,3.3,50.5
201911,2019-11-01,273.2158,4.3,52.1
201912,2019-12-01,283.4442,3.7,53.8
202001,2020-01-01,289.8299,2.3,52.9
202002,2020-02-01,295.666,2.0,50.3
202003,2020-03-01,305.5515,3.3,48.4
202004,2020-04-01,310.1243,1.5,45.6
202005,2020-05-01,314.9087,1.5,43.4
202006,2020-06-01,321.9738,2.2,42.8
202007,2020-07-01,328.2014,1.9,42.4
202008,2020-08-01,337.0632,2.7,40.7
202009,2020-09-01,346.6207,2.8,36.6
202010,2020-10-01,359.657,3.8,37.2
202011,2020-11-01,371.0211,3.2,35.8
202012,2020-12-01,385.8826,4.0,36.1
202101,2021-01-01,401.5071,4.0,38.5
202102,2021-02-01,415.8595,3.6,40.7
202103,2021-03-01,435.8657,4.8,42.6
202104,2021-04-01,453.6503,4.1,46.3
202105,2021-05-01,468.725,3.3,48.8
202106,2021-06-01,483.6049,3.2,50.2
202107,2021-07-01,498.0987,3.0,51.8
202108,2021-08-01,510.3942,2.5,51.4
202109,2021-09-01,528.4968,3.5,52.5
202110,2021-10-01,547.0802,3.5,52.1
202111,2021-11-01,560.9184,2.5,51.2
202112,2021-12-01,582.4575,3.8,50.9
202201,2022-01-01,605.0317,3.9,50.7
202202,2022-02-01,633.4341,4.7,52.3
202203,2022-03-01,676.0566,6.7,55.1
202204,2022-04-01,716.9399,6.0,58.0
202205,2022-05-01,753.147,5.1,60.7
202206,2022-06-01,793.0278,5.3,64.0
202207,2022-07-01,851.761,7.4,71.0
202208,2022-08-01,911.1316,7.0,78.5
202209,2022-09-01,967.3076,6.2,83.0
202210,2022-10-01,1028.706,6.3,88.0
202211,2022-11-01,1079.2787,4.9,92.4
202212,2022-12-01,1134.5875,5.1,94.8
202301,2023-01-01,1202.979,6.0,98.8
202302,2023-02-01,1282.7091,6.6,102.5
202303,2023-03-01,1381.1601,7.7,104.3
202304,2023-04-01,1497.2147,8.4,108.8
202305,2023-05-01,1613.5895,7.8,114.2
202306,2023-06-01,1709.6115,6.0,115.6
202307,2023-07-01,1818.0838,6.3,113.4
202308,2023-08-01,2044.2832,12.4,124.4
202309,2023-09-01,2304.9242,12.7,138.3
202310,2023-10-01,2496.273,8.3,142.7
202311,2023-11-01,2816.0628,12.8,160.9
202312,2023-12-01,3533.1922,25.5,211.4
202401,2024-01-01,4261.5324,20.6,254.2
202402,2024-02-01,4825.7881,13.2,276.2
202403,2024-03-01,5357.0929,11.0,287.9
202404,2024-04-01,5830.227,8.8,289.4
202405,2024-05-01,6073.717,4.2,276.4
202406,2024-06-01,6351.715,4.6,271.5
202407,2024-07-01,6607.748,4.0,263.4
202408,2024-08-01,6883.441,4.2,236.7
202409,2024-09-01,7122.242,3.5,209.0
202410,2024-10-01,7313.954,2.7,193.0
202411,2024-11-01,7491.431,2.4,166.0
202412,2024-12-01,7694.0075,2.7,117.8
202501,2025-01-01,7864.1257,2.2,84.5
202502,2025-02-01,8052.9927,2.4,66.9
202503,2025-03-01,8353.3158,3.7,55.9
202504,2025-04-01,8585.6078,2.8,47.3
202505,2025-05-01,8714.4871,1.5,43.5
202506,2025-06-01,8855.5681,1.6,39.4
202507,2025-07-01,9023.973,1.9,36.6
202508,2025-08-01,9193.2441,1.9,33.6
202509,2025-09-01,9384.0922,2.1,31.8
202510,2025-10-01,9603.8623,2.3,31.3
202511,2025-11-01,9841.3581,2.5,31.4
202512,2025-12-01,10121.3715,2.8,31.5
202601,2026-01-01,10413.0309,2.9,32.4
202602,2026-02-01,10714.6255,2.9,33.1
202603,2026-03-01,11077.0608,3.4,32.6
202604,2026-04-01,11363.0904,2.6,32.4
